RICS,Term,Prices/Upfronts,Name,Currency,Rank,Doc Clause,Cal final,recovery rate,TRBC Economic Sector Name,Region
GMAC1YUSAX=R,1Y,22.88,ALLY FINANCIAL,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Financials,United States of America
AXP1YUSAX=R,1Y,7.32,AMERICAN EXPRESS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
BAC1YUSAX=R,1Y,20.14,BOFAML,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
BAC1YUSSX=R,1Y,28.2,BOFAML,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
COFC1YUSAX=R,1Y,6.39,CAPITAL ONE BANK,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
COFC1YUSSX=R,1Y,9.59,CAPITAL ONE BANK,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
CIT1YUSAX=R,1Y,17.19,CIT GROUP,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Financials,United States of America
C1YUSAX=R,1Y,20.76,CITIGROUP,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
C1YUSSX=R,1Y,31.14,CITIGROUP,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
GS1YUSAX=R,1Y,20.76,GOLDMAN SACHS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
GS1YUSSX=R,1Y,31.15,GOLDMAN SACHS,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
JPM1YUSAX=R,1Y,17.5,JP MORGAN,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
JPM1YUSSX=R,1Y,24.5,JP MORGAN,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
MS1YUSAX=R,1Y,20.14,MORGAN STANLEY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
MS1YUSSX=R,1Y,30.21,MORGAN STANLEY,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
PNC1YUSAX=R,1Y,13.9,PNC FINL SVC,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
PNC1YUSSX=R,1Y,41.42,PNC FINL SVC,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
USB1YUSAX=R,1Y,2.68,US BANCORP,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
WFC1YUSAX=R,1Y,15.17,WELLS FARGO,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
WFC1YUSSX=R,1Y,22.75,WELLS FARGO,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
WFCH1YUSSX=R,1Y,78.96,WELLS FARGO BANK,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
AGN1YUSAX=R,1Y,32,ALLERG,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Healthcare,United States of America
MO1YUSAX=R,1Y,7.4,ALTRIA GROUP,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
ADM1YUSAX=R,1Y,45.71,ARCHER DANIELS,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
CPB1YUSAX=R,1Y,17.11,CAMPBELL SOUP,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
CARG1YUSAX=R,1Y,19.42,CARG,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
KO1YUSAX=R,1Y,11.61,COCA-COLA,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
CL1YUSAX=R,1Y,11.51,COLGATE,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Consumer Non-Cyclicals,United States of America
CAG1YUSAX=R,1Y,11.25,CONAGRA BRANDS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
STZ1YUSAX=R,1Y,23.95,CONSTELLATION BR,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
STZ1YUSSX=R,1Y,35.92,CONSTELLATION BR,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Consumer Non-Cyclicals,United States of America
TAPC1YUSAX=R,1Y,44.74,COORS BREWING,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Consumer Non-Cyclicals,United States of America
DF1YUSAX=R,1Y,46.27,DEAN FOODS,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Consumer Non-Cyclicals,United States of America
DHMH1YUSAX=R,1Y,30.73,DOLE FOOD,USD,SNRFOR,Ex-Restruct14,B,(30-39),Consumer Non-Cyclicals,United States of America
DD1YUSAX=R,1Y,6.37,DU PONT,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
FO1YUSAX=R,1Y,5.25,BEAM SUNTORY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
GIS1YUSAX=R,1Y,10.08,GENERAL MILLS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
GP1YUSAX=R,1Y,7.31,GEORGIA-PACIFIC,USD,SNRFOR,Ex-Restruct14,A,(40-49),Basic Materials,United States of America
PGGI1YUSAX=R,1Y,33.46,GILLETTE,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Consumer Non-Cyclicals,United States of America
HSY1YUSAX=R,1Y,10.67,HERSHEY,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
SLE1YUSAX=R,1Y,5.4,HILLSHIRE BRANDS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
K1YUSAX=R,1Y,10.73,KELLOGG,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
DPS1YUSAX=R,1Y,22.15,KEURIG DR PEPPER,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
HNZ1YUSAX=R,1Y,8.81,KRAFT HEINZ CO,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
KFT1YUSAX=R,1Y,8.54,MONDELEZ INTL,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
NWL1YUSAX=R,1Y,17.93,NEWELL BRANDS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
PEPN1YUSAX=R,1Y,9.35,PEPSI COLA METRO,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
PEP1YUSAX=R,1Y,5.31,PEPSICO,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
PG1YUSAX=R,1Y,5.09,PROCTER GAMBLE,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Consumer Non-Cyclicals,United States of America
SFDA1YUSAX=R,1Y,17.54,SMITHFIELD FOODS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
SVU1YUSAX=R,1Y,22.09,SUPERVALU,USD,SNRFOR,Ex-Restruct14,B,(30-39),Consumer Non-Cyclicals,United States of America
SYY1YUSAX=R,1Y,12.48,SYSCO,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
TSN1YUSAX=R,1Y,10.48,TYSON FOODS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
UVV1YUSAX=R,1Y,12.26,UNIVERSAL,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,United States of America
APC1YUSAX=R,1Y,8.95,ANADARKO PETROL,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
TSO1YUSAX=R,1Y,5.85,ANDEAVOR US,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
APA1YUSAX=R,1Y,9.44,APACHE,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
BHI1YUSAX=R,1Y,6.95,BAKER HUGHES A,USD,SNRFOR,Ex-Restruct14,A,(40-49),Energy,United States of America
CHK1YUSAX=R,1Y,107.73,CHESAPEAKE ENRGY,USD,SNRFOR,Ex-Restruct14,B,(30-39),Energy,United States of America
CVX1YUSAX=R,1Y,4.11,CHEVRON,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Energy,United States of America
COP1YUSAX=R,1Y,4.8,CONOCOPHILLIPS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
DVN1YUSAX=R,1Y,5.38,DEVON ENERGY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
DVNO1YUSAX=R,1Y,5.38,DEVON OEI OPER,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
DODR1YUSAX=R,1Y,30.11,DIAMOND OFFSHORE,USD,SNRFOR,Ex-Restruct14,B,(40-49),Energy,United States of America
EPG1YUSAX=R,1Y,11.03,EL PASO,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Energy,United States of America
EPDE1YUSAX=R,1Y,12.88,ENTERPRISE PROD,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
EOG1YUSAX=R,1Y,16.34,EOG RESOURCES,USD,SNRFOR,Ex-Restruct14,A,(40-49),Energy,United States of America
XOM1YUSAX=R,1Y,8.15,EXXON MOBIL,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Energy,United States of America
GSFG1YUSAX=R,1Y,185.54,GLOBAL MRNE,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Energy,United States of America
HAL1YUSAX=R,1Y,7.91,HALLIBURTON,USD,SNRFOR,Ex-Restruct14,A,(40-49),Energy,United States of America
HLX1YUSAX=R,1Y,140.61,HELIX ENERGY SOL,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Energy,United States of America
HES1YUSAX=R,1Y,7.8,HESS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
KMG1YUSAX=R,1Y,24.32,KERR-MCGEE,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
KINE1YUSAX=R,1Y,7.75,KINDER MORGAN DE,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
KMEP1YUSAX=R,1Y,6.7,KINDER MORGAN LP,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
MROC1YUSAX=R,1Y,11.18,MARATHN OIL,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
MUR1YUSAX=R,1Y,18.63,MURPHY OIL,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Energy,United States of America
NBRI1YUSAX=R,1Y,28.86,NABORS IND,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Energy,United States of America
NOV1YUSAX=R,1Y,19.08,NATIONAL OILWELL,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
NFX1YUSAX=R,1Y,115.02,NEWFIELD EXPLRTN,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Energy,United States of America
SUGP1YUSAX=R,1Y,85.11,PANHANDLE EASTRN,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
RDPQ1YUSAX=R,1Y,17.1,PENNZOIL QUAKER,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Consumer Cyclicals,United States of America
PXD1YUSAX=R,1Y,11.14,PIONEER NATL RSC,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Energy,United States of America
PDE1YUSAX=R,1Y,79.69,PRIDE INTL,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Energy,United States of America
SUNX1YUSAX=R,1Y,14.93,SUNOCO,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Energy,United States of America
KMI1YUSAX=R,1Y,80.07,KINDER KANSAS,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Energy,United States of America
AX1YUSAX=R,1Y,80.82,AGILENT,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Healthcare,United States of America
APD1YUSAX=R,1Y,7.55,AIR PRDCTS,USD,SNRFOR,Ex-Restruct14,A,(40-49),Basic Materials,United States of America
AKST1YUSAX=R,1Y,50.66,AK STEEL CORP,USD,SNRFOR,Ex-Restruct14,B,(30-39),Basic Materials,United States of America
ATI1YUSAX=R,1Y,49.07,ALLEGHENY TECH,USD,SNRFOR,Ex-Restruct14,B,(40-49),Basic Materials,United States of America
AMD1YUSAX=R,1Y,14.89,AMD,USD,SNRFOR,Ex-Restruct14,B,(30-39),Technology,United States of America
AXLA1YUSAX=R,1Y,26.23,AMERICAN AXLE,USD,SNRFOR,Ex-Restruct14,BB,(30-39),Consumer Cyclicals,United States of America
AXL1YUSAX=R,1Y,26.23,AMERICAN AXLE US,USD,SNRFOR,Ex-Restruct14,BB,(30-39),Consumer Cyclicals,United States of America
AMKR1YUSAX=R,1Y,20.34,AMKOR TECHNOLOGY,USD,SNRFOR,Ex-Restruct14,BB,(30-39),Technology,United States of America
ADI1YUSAX=R,1Y,61.5,ANALOG DEVICES,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
AAPL1YUSAX=R,1Y,5.16,APPLE,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Technology,United States of America
AMAT1YUSAX=R,1Y,47.27,APPLIED,USD,SNRFOR,Ex-Restruct14,A,(40-49),Technology,United States of America
ARNL1YUSAX=R,1Y,35.11,ARCONIC,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Basic Materials,United States of America
ARW1YUSAX=R,1Y,8.12,ARROW ELECTRONIC,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
AZO1YUSAX=R,1Y,9.15,AUTOZONE,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
AVT1YUSAX=R,1Y,9.25,AVNET,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
BLL1YUSAX=R,1Y,15.14,BALL,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Basic Materials,United States of America
BZH1YUSAX=R,1Y,32.35,BEAZER HOMES USA,USD,SNRFOR,Ex-Restruct14,B,(30-39),Consumer Cyclicals,United States of America
BDK1YUSAX=R,1Y,3.43,BLACK & DECKER,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Consumer Cyclicals,United States of America
BA1YUSAX=R,1Y,8.84,BOEING,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
BWA1YUSAX=R,1Y,16.78,BORGWARNER,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
BGG1YUSAX=R,1Y,27.01,BRIGGS,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Consumer Cyclicals,United States of America
CA1YUSAX=R,1Y,12.76,CA,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
CAT1YUSAX=R,1Y,6.01,CATERPILLAR,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
CSCO1YUSAX=R,1Y,6.15,CISCO SYSTEMS,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Technology,United States of America
CLX1YUSAX=R,1Y,15.45,CLOROX,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Non-Cyclicals,United States of America
CVG1YUSAX=R,1Y,254.52,CONVERGYS,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Technology,United States of America
CTB1YUSAX=R,1Y,23.83,COOPER TIRE RUBR,USD,SNRFOR,Ex-Restruct14,BB,(30-39),Consumer Cyclicals,United States of America
GLW1YUSAX=R,1Y,11.39,CORNING,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
CUM1YUSAX=R,1Y,6.66,CUMMINS,USD,SNRFOR,Ex-Restruct14,A,(40-49),Consumer Cyclicals,United States of America
CYTE1YUSAX=R,1Y,8.75,CYTEC INDUSTRIES,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Basic Materials,United States of America
DHR1YUSAX=R,1Y,6.67,DANAHER,USD,SNRFOR,Ex-Restruct14,A,(40-49),Healthcare,United States of America
DE1YUSAX=R,1Y,6.42,DEERE,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
DELL1YUSAX=R,1Y,16.43,DELL,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Technology,United States of America
DOV1YUSAX=R,1Y,26.18,DOVER,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Industrials,United States of America
DOW1YUSAX=R,1Y,7.16,DOW,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
DHI1YUSAX=R,1Y,9.72,DR HORTON,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
EMN1YUSAX=R,1Y,6.15,EASTMAN CHEMICAL,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
EMR1YUSAX=R,1Y,9,EMERSON ELECTRIC,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
EDS1YUSAX=R,1Y,16.51,ENTERPRISE SER,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Industrials,United States of America
FCS1YUSAX=R,1Y,169.77,FAIRCHILD SEMI,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Technology,United States of America
FDC1YUSAX=R,1Y,15.17,FIRST DATA,USD,SNRFOR,Ex-Restruct14,B,(30-39),Industrials,United States of America
FDC1YUSSX=R,1Y,22.76,FIRST DATA,USD,SUBLT2,Ex-Restruct14,B,(0-29),Industrials,United States of America
F1YUSAX=R,1Y,15.67,FORD MOTOR,USD,SNRFOR,Ex-Restruct14,BBB,(30-39),Consumer Cyclicals,United States of America
FCX1YUSAX=R,1Y,20.14,FREEPORT MCMORAN,USD,SNRFOR,Ex-Restruct14,B,(40-49),Basic Materials,United States of America
GE1YUSAX=R,1Y,10.79,GE,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
GMA1YUSAX=R,1Y,13.36,GM,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
GR1YUSAX=R,1Y,8.19,GOODRICH,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Industrials,United States of America
GT1YUSAX=R,1Y,22.89,GOODYEAR TIRE,USD,SNRFOR,Ex-Restruct14,BB,(30-39),Consumer Cyclicals,United States of America
HRS1YUSAX=R,1Y,18.78,HARRIS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
HON1YUSAX=R,1Y,7.54,HONEYWELL INTL,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
HPQ1YUSAX=R,1Y,7.15,HP,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
HUNT1YUSAX=R,1Y,14.27,HUNTSMAN INTL US,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Basic Materials,United States of America
HUNT1YUSSX=R,1Y,21.3,HUNTSMAN INTL US,USD,SUBLT2,Ex-Restruct14,BB,(0-29),Basic Materials,United States of America
IBM1YUSAX=R,1Y,3.8,IBM,USD,SNRFOR,Ex-Restruct14,A,(40-49),Technology,United States of America
ITW1YUSAX=R,1Y,15.43,ILLINOIS TOOL,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
IRCO1YUSAX=R,1Y,5.35,INGERSOL RAND CO,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Industrials,United States of America
INTC1YUSAX=R,1Y,9.47,INTEL,USD,SNRFOR,Ex-Restruct14,A,(40-49),Technology,United States of America
INTC1YUSSX=R,1Y,9.18,INTEL,USD,SUBLT2,Ex-Restruct14,A,(40-49),Technology,United States of America
IP1YUSAX=R,1Y,9.21,INTL PAPER,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
INTU1YUSAX=R,1Y,67.82,INTUIT,USD,SNRFOR,Ex-Restruct14,A,(40-49),Technology,United States of America
JCI1YUSAX=R,1Y,5.86,JOHNSON CONTROLS,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Consumer Cyclicals,United States of America
JNY1YUSAX=R,1Y,72.39,JONES GROUP,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Consumer Cyclicals,United States of America
KBH1YUSAX=R,1Y,21.55,KB HOME,USD,SNRFOR,Ex-Restruct14,B,(40-49),Consumer Cyclicals,United States of America
KBH1YUSSX=R,1Y,27.44,KB HOME,USD,SUBLT2,Ex-Restruct14,B,(30-39),Consumer Cyclicals,United States of America
VMC1YUSAX=R,1Y,8.21,LEGACY VULCAN,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Basic Materials,United States of America
LEN1YUSAX=R,1Y,20.42,LENNAR,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Consumer Cyclicals,United States of America
LEVA1YUSAX=R,1Y,19.94,LEVI STRAUSS,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Consumer Cyclicals,United States of America
LRYL1YUSAX=R,1Y,132.23,LIBERTY PROPERTY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
LMT1YUSAX=R,1Y,8.16,LOCKHEED,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Industrials,United States of America
LPX1YUSAX=R,1Y,9.21,LOUISIANA-PACIFC,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Basic Materials,United States of America
MLM1YUSAX=R,1Y,11.5,MARTIN MARI MAT,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
MAS1YUSAX=R,1Y,8.37,MASCO,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
MDC1YUSAX=R,1Y,17.73,MDC HOLDINGS,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Consumer Cyclicals,United States of America
ARM1YUSAX=R,1Y,16.28,MERITOR,USD,SNRFOR,Ex-Restruct14,BB,(30-39),Consumer Cyclicals,United States of America
MSFT1YUSAX=R,1Y,8.2,MICROSOFT,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Technology,United States of America
MOHK1YUSAX=R,1Y,18.44,MOHAWK INDS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Consumer Cyclicals,United States of America
MTC1YUSAX=R,1Y,6.28,MONSANTO,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
MOSG1YUSAX=R,1Y,12.78,MOSAIC,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
MOSI1YUSAX=R,1Y,28.75,MOSAIC GBL HLDGS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
MOT1YUSAX=R,1Y,7.54,MOTOROLA,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,United States of America
NAV1YUSAX=R,1Y,636.19,NAVISTAR INTL,USD,SNRFOR,Ex-Restruct14,B,(30-39),Industrials,United States of America
NEM1YUSAX=R,1Y,10.25,NEWMONT MINING,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Basic Materials,United States of America
NKE1YUSAX=R,1Y,10.44,NIKE,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Consumer Cyclicals,United States of America
NORV1YUSAX=R,1Y,6.04,NORTHROP GRUMMAN,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Industrials,United States of America
NUE1YUSAX=R,1Y,7.75,NUCOR,USD,SNRFOR,Ex-Restruct14,A,(40-49),Basic Materials,United States of America
FSLS1YUSAX=R,1Y,10.7,NXP USA,USD,SNRFOR,Ex-Restruct14,NR,(0-29),Technology,United States of America
STOC1YUSAB=R,1Y,7,CALIFORNIA STATE,USD,SNRFOR,Cum-Restruct14,NR,(50-89),Government,United States of America
NEWB1YUSAB=R,1Y,92.01,CITY OF NEW YORK,USD,SNRFOR,Cum-Restruct14,NR,(50-89),Industrials,United States of America
FLGV1YUSAB=R,1Y,9,FLORIDA,USD,SNRFOR,Cum-Restruct14,NR,(50-89),Government,United States of America
NJRS1YUSAB=R,1Y,27.03,NEW JERSY,USD,SNRFOR,Cum-Restruct14,NR,(50-89),Industrials,United States of America
NYOR1YUSAB=R,1Y,30.46,NEW YORK STATE,USD,SNRFOR,Cum-Restruct14,NR,(50-89),Government,United States of America
AFL1YUSAX=R,1Y,103.38,AFLAC,USD,SNRFOR,Ex-Restruct14,A,(30-39),Financials,United States of America
AIG1YUSAX=R,1Y,14.13,AIG,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
AIGA1YUSAX=R,1Y,14.37,AIG LIFE HLDG,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
ALL1YUSAX=R,1Y,6.61,ALLSTATE,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
AMR1YUSAX=R,1Y,40.89,AMERICAN AIRLINE,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Industrials,United States of America
HONA1YUSAX=R,1Y,24.51,AMERICAN HONDA,USD,SNRFOR,Ex-Restruct14,A,(30-39),Financials,United States of America
AMT1YUSAX=R,1Y,61.72,AMERICAN TOWER,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
WLPA1YUSAX=R,1Y,14.1,ANTHEM INSUR,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
AOC1YUSAX=R,1Y,11.6,AON,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
ARCH1YUSAX=R,1Y,75.31,ARCHSTONE,USD,SNRFOR,Ex-Restruct14,NR,(40-49),Financials,United States of America
AIZ1YUSAX=R,1Y,31.23,ASSURANT,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
FSFF1YUSAX=R,1Y,16.31,ASSURD GRNTY MUN,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Financials,United States of America
ACEA1YUSAX=R,1Y,15.92,ASSURED GNTY,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Financials,United States of America
T1YUSAX=R,1Y,17.22,AT&T,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Telecommunications Services,United States of America
AVB1YUSAX=R,1Y,10.06,AVALONBAY US,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
BRK1YUSAX=R,1Y,11.58,BERKSHIRE HATHA,USD,SNRFOR,Ex-Restruct14,AA,(40-49),Financials,United States of America
BLCK1YUSAX=R,1Y,11.93,BLOCK FINANCIAL,USD,SNRFOR,Ex-Restruct14,NR,(30-39),Consumer Cyclicals,Canada
BABC1YUSAX=R,1Y,4.72,BOEING CAPITAL,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,Europe & Central Asia
BXP1YUSAX=R,1Y,11.14,BOSTON PPTY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
BGXI1YUSAX=R,1Y,22.81,BUNGE FIN,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
BRKC1YUSAX=R,1Y,3.68,BURLINGTON NRTH,USD,SNRFOR,Ex-Restruct14,A,(40-49),Industrials,United States of America
CPNL1YUSAX=R,1Y,35.83,CALPINE,USD,SNRFOR,Ex-Restruct14,B,(30-39),Utilities,United States of America
CPT1YUSAX=R,1Y,33.19,CAMDEN PROPERTY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
