RICS,Term,Prices/Upfronts,Name,Currency,Rank,Doc Clause,Cal final,recovery rate,TRBC Economic Sector Name,Region
CHUA20YJPAC=R,20Y,156.56,CHUGAI PHARM,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Healthcare,Japan
DAIB20YJPAC=R,20Y,35.15,DAIBIRU,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Financials,Japan
DENB20YJPAC=R,20Y,54.7,DENTSU,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Consumer Cyclicals,Japan
HEIR20YJPAC=R,20Y,611.74,HEIWA REALESTATE,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Financials,Japan
IZUM20YJPAC=R,20Y,462.99,IZUMI,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Consumer Cyclicals,Japan
MARB20YJPAC=R,20Y,62.66,MARUI GROUP,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Consumer Cyclicals,Japan
MITE20YJPAC=R,20Y,52.62,MITSUBISHI EST,JPY,SNRFOR,Cum-Restruct14,A,(30-39),Financials,Japan
MTSF20YJPAC=R,20Y,46.2,MITSUI FUDOSAN,JPY,SNRFOR,Cum-Restruct14,A,(30-39),Financials,Japan
NIKO20YJPAC=R,20Y,55.21,NIKON,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Consumer Cyclicals,Japan
NIPC20YJPAC=R,20Y,105.39,NIPRO,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Healthcare,Japan
OJIP20YJPAC=R,20Y,55.72,OJI HOLDINGS,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Basic Materials,Japan
SHIM20YJPAC=R,20Y,96.3,SHIMADZU,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
SHMZ20YJPAC=R,20Y,50.59,SHIMIZU,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
SUMR20YJPAC=R,20Y,65.48,SUMITOMO REALTY,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Financials,Japan
KDDI20YJPAC=R,20Y,58.18,KDDI,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Telecommunications Services,Japan
NTTC20YJPAC=R,20Y,50.86,NTT DOCOMO,JPY,SNRFOR,Cum-Restruct14,AA,(30-39),Telecommunications Services,Japan
SFTB20YJPAC=R,20Y,294.24,SOFTBANK GROUP,JPY,SNRFOR,Cum-Restruct14,BB,(30-39),Telecommunications Services,Japan
ANA20YJPAC=R,20Y,53.81,ANA,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
CNJP20YJPAC=R,20Y,46.17,CENTRAL JPN RAIL,JPY,SNRFOR,Cum-Restruct14,AA,(30-39),Industrials,Japan
EAJA20YJPAC=R,20Y,39.27,EAST JAPAN RAIL,JPY,SNRFOR,Cum-Restruct14,AA,(30-39),Industrials,Japan
HANB20YJPAC=R,20Y,52.81,HANKYU HANSHIN H,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
HSNE20YJPAC=R,20Y,52.81,HANSHIN ELEC RWY,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
KAWK20YJPAC=R,20Y,216.84,KAWASAKI KISEN,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
MTOA20YJPAC=R,20Y,152.01,MITSUI OSK,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
NAGO20YJPAC=R,20Y,48.42,NAGOYA RAILROAD,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
NANK20YJPAC=R,20Y,71.12,NANKAI ELEC RWY,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
NPYK20YJPAC=R,20Y,110.29,NIPPON YUSEN,JPY,SNRFOR,Cum-Restruct14,BBB,(30-39),Industrials,Japan
NRAI20YJPAC=R,20Y,19.85,NISHI-NIP RAILRD,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
SENK20YJPAC=R,20Y,107.64,SENKO GROUP HLDG,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
SAGR20YJPAC=R,20Y,107.64,SOTETSU HOLDINGS,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Consumer Non-Cyclicals,Japan
TOBU20YJPAC=R,20Y,68.05,TOBU RAILWAY,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
TOKB20YJPAC=R,20Y,72.37,TOKYU,JPY,SNRFOR,Cum-Restruct14,NR,(30-39),Industrials,Japan
AMMK20YUSAC=R,20Y,353.31,AMBANK M,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
ANZ20YUSAR=R,20Y,110.29,ANZ BANK,USD,SNRFOR,Mod-Restruct14,AA,(40-49),Financials,East Asia & Pacific - Japan
ANZ20YUSSR=R,20Y,186.11,ANZ BANK,USD,SUBLT2,Mod-Restruct14,AA,(0-29),Financials,East Asia & Pacific - Japan
BKCH20YUSAC=R,20Y,141.31,BANK OF CHINA,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
BOI20YUSAC=R,20Y,204.34,BANK OF INDIA,USD,SNRFOR,Cum-Restruct14,BB,(40-49),Financials,East Asia & Pacific - Japan
CBA20YUSAR=R,20Y,113.36,COMM BANK AU,USD,SNRFOR,Mod-Restruct14,AA,(40-49),Financials,East Asia & Pacific - Japan
CBA20YUSSR=R,20Y,186.27,COMM BANK AU,USD,SUBLT2,Mod-Restruct14,AA,(0-29),Financials,East Asia & Pacific - Japan
CTHF20YUSAC=R,20Y,82.71,CUB,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
DBSB20YUSAC=R,20Y,77.79,DBS BANK,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Financials,East Asia & Pacific - Japan
DBSB20YUSSC=R,20Y,161.85,DBS BANK,USD,SUBLT2,Cum-Restruct14,AA,(0-29),Financials,East Asia & Pacific - Japan
EVRB20YUSAC=R,20Y,364.99,CEB BANK,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
SEOU20YUSAC=R,20Y,111.82,HANA BANK,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Financials,East Asia & Pacific - Japan
SEOU20YUSSC=R,20Y,138.14,HANA BANK,USD,SUBLT2,Cum-Restruct14,NR,(0-29),Financials,East Asia & Pacific - Japan
HSNG20YUSAC=R,20Y,111.75,HANG SENG BANK,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
ICBA20YUSAC=R,20Y,125.69,ICBC ASIA,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
ICIC20YUSAC=R,20Y,176.53,ICICI BANK,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
KOOK20YUSAC=R,20Y,112.3,KOOKMIN BANK,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
MBL20YUSAR=R,20Y,109.07,MACQUARIE BNK,USD,SNRFOR,Mod-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
MBL20YUSSR=R,20Y,205.55,MACQUARIE BNK,USD,SUBLT2,Mod-Restruct14,A,(0-29),Financials,East Asia & Pacific - Japan
NAB20YUSAR=R,20Y,111.25,NAB,USD,SNRFOR,Mod-Restruct14,AA,(40-49),Financials,East Asia & Pacific - Japan
NAB20YUSSR=R,20Y,185.36,NAB,USD,SUBLT2,Mod-Restruct14,AA,(0-29),Financials,East Asia & Pacific - Japan
